|"cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies"
0|"10141772|2020-01-23|Feminino|1980-02-03|tartaruga|moderado|refrigerante|Pintar quadros"
1|"10141947|2020-01-23|Masculino|1951-06-05|peixe|moderado|Cerveja|Escrever"
2|"10142106|2020-01-23|Masculino|1956-01-15|tartaruga|frio|Café|Escrever"
3|"10142269|2020-01-23|Masculino|1969-09-01|cachorro|moderado|refrigerante|Praticar esporte"
4|"10142525|2020-01-23|Masculino|1957-01-17|cachorro|moderado|Vinho|Escutar música"
5|"10143277|2020-01-23|Feminino|1959-11-19|cachorro|quente|Vinho|Dormir"
0|"10143398|2020-02-18|Masculino|1995-05-12|cachorro|frio|Água|Pintar quadros"
0|"10141580|2020-01-20|Feminino|1969-04-22|gato|quente|Café|Escrever"
1|"10142357|2020-01-20|Masculino|1987-02-27|cachorro|frio|Chá|Assistir TV"
2|"10142737|2020-01-20|Masculino|1976-02-15|peixe|moderado|Água|Escutar música"
3|"10142792|2020-01-20|Masculino|1998-04-15|tartaruga|quente|Vinho|Pintar quadros"
4|"10143033|2020-01-20|Masculino|1950-12-27|peixe|moderado|Café|Pintar quadros"
5|"10143228|2020-01-20|Masculino|1965-07-26|gato|moderado|Água|Aprender algo novo"
6|"10143240|2020-01-20|Masculino|1964-05-07|tartaruga|moderado|Vinho|Escrever"
0|"10141964|2020-08-29|Feminino|1963-03-04|tartaruga|frio|Cerveja|Assistir TV"
1|"10142207|2020-08-29|Masculino|1999-01-31|cachorro|quente|refrigerante|Assistir TV"
2|"10142262|2020-08-29|Masculino|1988-12-09|cachorro|quente|Água|Dormir"
3|"10142304|2020-08-29|Masculino|1984-06-23|tartaruga|quente|Água|Aprender algo novo"
4|"10142473|2020-08-29|Masculino|1959-07-21|peixe|frio|Vinho|Aprender algo novo"
5|"10142531|2020-08-29|Masculino|1973-02-11|gato|quente|refrigerante|Praticar esporte"
6|"10142573|2020-08-29|Masculino|1990-05-24|gato|frio|Água|Dormir"
7|"10143077|2020-08-29|Masculino|1973-07-19|cachorro|frio|Cerveja|Aprender algo novo"
8|"10143381|2020-08-29|Feminino|1962-11-04|peixe|moderado|Café|Assistir TV"
9|"10143594|2020-08-29|Masculino|1981-01-06|gato|frio|Café|Aprender algo novo"
0|"10142296|2020-05-17|Masculino|1976-10-29|gato|moderado|Vinho|Escutar música"
1|"10142709|2020-05-17|Masculino|1977-10-11|gato|moderado|Água|Ler livros"
